kaub_cm,load_factor,load_factor_vessel_gms,anchor
5,0.05,0.0,only purpose-built low-water vessels move (Stolt Ludwigshafen ~800 t at 30 cm; 9 such ships Aug 2026); Kaub 5-6 cm 14-17 Aug 2026
10,0.08,0.0,press: shipping past Kaub stopped; Contargo/CMA CGM: no barge <24 cm
15,0.22,0.02,"LOW-WATER FLEET COUNTERFACTUAL: central load factor + 0.10 between 15 and 55 cm (a fleet whose purpose-built shallow-draught vessels carry a tenth of normal tonnage at these gauges: Stolt Ludwigshafen ~800 t at 30 cm, 9 ships in Aug 2026; HGK fleet call); central anchors in draught_table.csv"
25,0.32,0.09,"LOW-WATER FLEET COUNTERFACTUAL: central load factor + 0.10 between 15 and 55 cm (a fleet whose purpose-built shallow-draught vessels carry a tenth of normal tonnage at these gauges: Stolt Ludwigshafen ~800 t at 30 cm, 9 ships in Aug 2026; HGK fleet call); central anchors in draught_table.csv"
30,0.35,0.11,"LOW-WATER FLEET COUNTERFACTUAL: central load factor + 0.10 between 15 and 55 cm (a fleet whose purpose-built shallow-draught vessels carry a tenth of normal tonnage at these gauges: Stolt Ludwigshafen ~800 t at 30 cm, 9 ships in Aug 2026; HGK fleet call); central anchors in draught_table.csv"
40,0.4,0.16,"LOW-WATER FLEET COUNTERFACTUAL: central load factor + 0.10 between 15 and 55 cm (a fleet whose purpose-built shallow-draught vessels carry a tenth of normal tonnage at these gauges: Stolt Ludwigshafen ~800 t at 30 cm, 9 ships in Aug 2026; HGK fleet call); central anchors in draught_table.csv"
55,0.5,0.24,"LOW-WATER FLEET COUNTERFACTUAL: central load factor + 0.10 between 15 and 55 cm (a fleet whose purpose-built shallow-draught vessels carry a tenth of normal tonnage at these gauges: Stolt Ludwigshafen ~800 t at 30 cm, 9 ships in Aug 2026; HGK fleet call); central anchors in draught_table.csv"
78,0.6,0.35,GlW: Contargo 25% per vessel = 4x ships; Ademmer et al. 2023: a full month <78 cm = -25% German IWW tonnage (Kaub usually far below in those months)
100,0.8,0.46,mild surcharge band (Maersk EUR 100/20' <91 cm)
120,0.9,0.56,Kaub 120-125 cm late April 2026: normal loading reported
150,1.0,0.71,full loading of standard vessels needs ~150 cm (hydrostatus/Kiel); fleet slack absorbs the residual
250,1.0,1.0,Contargo 2017: 250 cm = 100%
