sector,poolable,rauch_class,note
A01,1,homogeneous/reference-priced,"crops and livestock products: graded commodities (grain, oilseeds, feed); the same product from another region substitutes within days"
A02,1,reference-priced,"forestry products (roundwood, chips)"
A03,1,reference-priced,"fish; commodity markets"
B05,1,homogeneous,"coal and lignite; traded on quality specs"
B06,1,homogeneous,"crude oil and gas; fungible within specs"
B07,1,homogeneous,"iron ores"
B08,1,reference-priced,"sand, gravel, stone; local but interchangeable between sources"
B09,1,reference-priced,"mining support services (treated with mining)"
C10T12,1,reference-priced,"food, beverages, tobacco: mostly standard products with many suppliers (Barrot & Sauvagnat: no measurable propagation for non-specific inputs)"
C13T15,0,differentiated,"textiles, apparel, leather: specific to orders (Rauch differentiated)"
C16,1,reference-priced,"wood products (sawnwood, panels)"
C17_18,1,reference-priced,"paper, pulp, printing: graded commodities"
C19,1,homogeneous,"refined petroleum products: fully fungible (diesel, gasoline, naphtha to spec); the substitution is limited by logistics, not by the product"
C20,1,reference-priced,"basic chemicals, fertilisers, primary plastics: reference-priced commodities (Rauch); specialised chemicals are a minority of the sector's flows"
C21,0,differentiated,"pharmaceuticals: product-specific approvals"
C22,0,differentiated,"rubber and plastic products: parts made to specification"
C23,1,reference-priced,"cement, clinker, glass, building materials: standardised"
C24A,1,reference-priced,"basic iron and steel: graded semi-finished products (slabs, coils, rebar)"
C24B,1,reference-priced,"non-ferrous metals: LME-traded"
C25,0,differentiated,"fabricated metal products: made to drawing"
C26,0,differentiated,"electronics"
C27,0,differentiated,"electrical equipment"
C28,0,differentiated,"machinery"
C29,0,differentiated,"motor vehicles and parts (Boehm et al. 2019: sigma about 0.2 across sources)"
C301,0,differentiated,"ships"
C302T309,0,differentiated,"other transport equipment"
C31T33,0,differentiated,"furniture, other manufacturing, repair"
D,1,homogeneous,"electricity, gas, steam: fungible on the grid (the model has no grid; pooling stands in for it)"
E,1,homogeneous,"water supply, waste: local utilities, interchangeable sources"
F,0,differentiated,"construction services: site-specific, local"
G,0,differentiated,"trade services"
H49,0,differentiated,"road transport services: capacity-bound, local"
H50,0,differentiated,"water transport services"
H51,0,differentiated,"rail transport services"
H52,0,differentiated,"warehousing and logistics services"
H53,0,differentiated,"postal services"
I,0,differentiated,"accommodation and food services"
J58T60,0,differentiated,"publishing, media"
J61,0,differentiated,"telecommunications"
J62_63,0,differentiated,"IT services"
K,0,differentiated,"finance and insurance"
L,0,differentiated,"real estate"
M,0,differentiated,"professional services"
N,0,differentiated,"administrative services"
O,0,differentiated,"public administration"
P,0,differentiated,"education"
Q,0,differentiated,"health"
R,0,differentiated,"arts and recreation"
S,0,differentiated,"other services"
T,0,differentiated,"households as employers"
